longitude,latitude,population_range,ocean_proximity
-119.84,34.44,0-2000,NEAR OCEAN
-120.44,34.65,0-2000,NEAR OCEAN
-118.1,33.9,0-2000,<1H OCEAN
-118.25,33.93,0-2000,<1H OCEAN
-117.07,32.63,0-2000,NEAR OCEAN
-122.33,38.33,0-2000,NEAR BAY
-118.37,34.04,0-2000,<1H OCEAN
-121.88,37.39,2000-4000,<1H OCEAN
-121.22,37.72,0-2000,INLAND
-121.29,36.9,0-2000,INLAND
-122.96,38.42,0-2000,<1H OCEAN
-121.84,37.32,2000-4000,<1H OCEAN
-119.56,36.09,0-2000,INLAND
-117.13,32.91,0-2000,<1H OCEAN
-118.99,35.4,0-2000,INLAND
-118.04,33.83,0-2000,<1H OCEAN
-121.95,36.61,0-2000,NEAR OCEAN
-122.29,37.48,2000-4000,NEAR OCEAN
-122.3,37.52,0-2000,NEAR OCEAN
-122.34,37.93,0-2000,NEAR BAY
-117.33,34.03,0-2000,INLAND
-122.5,37.76,0-2000,NEAR OCEAN
-121.03,37.69,0-2000,INLAND
-118.28,33.74,0-2000,NEAR OCEAN
-118.1,33.82,0-2000,<1H OCEAN
-121.37,38.01,0-2000,INLAND
-118.2,34.2,0-2000,<1H OCEAN
-121.84,36.61,2000-4000,<1H OCEAN
-119.52,34.4,0-2000,NEAR OCEAN
-117.98,34,0-2000,<1H OCEAN
-118.42,37.36,0-2000,INLAND
-115.54,32.98,0-2000,INLAND
-122.36,37.95,0-2000,NEAR BAY
-117.29,32.92,0-2000,NEAR OCEAN
-116.25,33.75,0-2000,INLAND
-117.34,33.98,8000-10000,INLAND
-119.78,36.27,0-2000,INLAND
-120.1,39.33,0-2000,INLAND
-122.04,37.96,0-2000,NEAR BAY
-117.91,33.65,0-2000,<1H OCEAN
-118.99,34.23,4000-6000,<1H OCEAN
-119.27,34.29,0-2000,NEAR OCEAN
-118.32,34.03,0-2000,<1H OCEAN
-117.2,33.2,0-2000,<1H OCEAN
-117.81,33.71,0-2000,<1H OCEAN
-118.31,33.98,0-2000,<1H OCEAN
-122.3,37.88,0-2000,NEAR BAY
-118.65,34.18,0-2000,<1H OCEAN
-118.39,34.01,0-2000,<1H OCEAN
-117.94,33.65,2000-4000,<1H OCEAN
-122.28,37.5,2000-4000,NEAR OCEAN
-121.96,37.81,2000-4000,<1H OCEAN
-122.43,37.8,0-2000,NEAR BAY
-119.77,36.79,0-2000,INLAND
-122.41,40.58,0-2000,INLAND
-118.14,34.03,0-2000,<1H OCEAN
-119.45,36.35,0-2000,INLAND
-118.46,34,0-2000,<1H OCEAN
-122.24,40.45,0-2000,INLAND
-117.25,32.78,0-2000,NEAR OCEAN
-121.29,38.14,0-2000,INLAND
-118.84,34.16,2000-4000,<1H OCEAN
-120.47,37.29,0-2000,INLAND
-122.8,38.37,0-2000,<1H OCEAN
-117.08,32.62,0-2000,NEAR OCEAN
-119.71,34.41,0-2000,NEAR OCEAN
-117.96,34.04,0-2000,<1H OCEAN
-122.06,37.99,0-2000,NEAR BAY
-121.25,38.14,0-2000,INLAND
-121.26,37.88,0-2000,INLAND
-122.28,40.5,0-2000,INLAND
-117.98,33.84,0-2000,<1H OCEAN
-122.09,37.37,0-2000,NEAR BAY
-118.08,33.93,0-2000,<1H OCEAN
-121.84,37.25,2000-4000,<1H OCEAN
-115.56,32.78,0-2000,INLAND
-117.37,33.7,2000-4000,<1H OCEAN
-119.78,34.48,0-2000,NEAR OCEAN
-118.58,34.2,0-2000,<1H OCEAN
-119.22,34.26,0-2000,NEAR OCEAN
-122.09,37.39,0-2000,NEAR BAY
-118.37,34.05,0-2000,<1H OCEAN
-119.24,36.33,0-2000,INLAND
-117.68,34.15,0-2000,INLAND
-117.78,34.11,2000-4000,INLAND
-119.65,36.34,0-2000,INLAND
-118.15,34.07,0-2000,<1H OCEAN
-121.75,36.91,0-2000,<1H OCEAN
-121.65,36.77,0-2000,<1H OCEAN
-117.75,33.61,0-2000,<1H OCEAN
-117.41,33.94,2000-4000,INLAND
-117.88,33.85,0-2000,<1H OCEAN
-117.09,32.91,0-2000,<1H OCEAN
-119.18,35.5,0-2000,INLAND
-118.08,34.1,0-2000,<1H OCEAN
-118.15,34.2,0-2000,INLAND
-122.49,37.78,0-2000,NEAR BAY
-119.79,36.32,0-2000,INLAND
-117.66,34.09,0-2000,INLAND
-122.29,37.81,0-2000,NEAR BAY
-118.27,33.79,2000-4000,<1H OCEAN
-118.37,34.03,0-2000,<1H OCEAN
-117.96,33.83,0-2000,<1H OCEAN
-119.2,34.27,2000-4000,NEAR OCEAN
-118.27,33.98,0-2000,<1H OCEAN
-119.17,34.26,0-2000,NEAR OCEAN
-118.5,34.52,2000-4000,INLAND
-122.27,40.46,0-2000,INLAND
-117.89,33.71,2000-4000,<1H OCEAN
-121.82,37.37,0-2000,<1H OCEAN
-117.71,33.54,0-2000,<1H OCEAN
-122.48,38.54,0-2000,INLAND
-117.94,34.09,0-2000,<1H OCEAN
-117.15,32.74,0-2000,NEAR OCEAN
-118.25,34.02,0-2000,<1H OCEAN
-117.38,34.11,0-2000,INLAND
-117.38,34.13,0-2000,INLAND
-121.8,38.68,0-2000,INLAND
-122.06,37.34,0-2000,<1H OCEAN
-117.43,33.93,0-2000,INLAND
-117.06,33.13,4000-6000,<1H OCEAN
-118.52,34.32,2000-4000,<1H OCEAN
-117.91,33.94,2000-4000,<1H OCEAN
-118.32,34.14,0-2000,<1H OCEAN
-118.49,34.13,0-2000,<1H OCEAN
-121.94,37.25,0-2000,<1H OCEAN
-121.44,38.63,0-2000,INLAND
-118.74,34.26,2000-4000,<1H OCEAN
-119.38,36.53,0-2000,INLAND
-117.95,33.93,0-2000,<1H OCEAN
-119.69,36.82,0-2000,INLAND
-121.1,39.08,0-2000,INLAND
-118.04,34.15,0-2000,INLAND
-118.26,33.77,0-2000,NEAR OCEAN
-117.14,32.71,0-2000,NEAR OCEAN
-119.25,34.27,0-2000,NEAR OCEAN
-118.39,34.04,0-2000,<1H OCEAN
-118.11,34,2000-4000,<1H OCEAN
-121.38,38.64,2000-4000,INLAND
-118.02,34.08,2000-4000,INLAND
-116.94,32.83,0-2000,<1H OCEAN
-121.75,36.91,0-2000,<1H OCEAN
-118.16,33.78,2000-4000,NEAR OCEAN
-119.77,36.73,0-2000,INLAND
-119.46,36.61,0-2000,INLAND
-118.5,34.19,0-2000,<1H OCEAN
-118.34,33.95,4000-6000,<1H OCEAN
-116.91,33.71,2000-4000,INLAND
-117.12,32.7,0-2000,NEAR OCEAN
-121.97,37.36,0-2000,<1H OCEAN
-122.82,38.53,0-2000,<1H OCEAN
-119.06,36.1,0-2000,INLAND
-117.98,33.85,0-2000,<1H OCEAN
-121.43,37.75,0-2000,INLAND
-116.98,33.93,0-2000,INLAND
-121.55,39.51,0-2000,INLAND
-118.17,33.77,0-2000,NEAR OCEAN
-117.14,32.76,0-2000,NEAR OCEAN
-118.13,34.07,0-2000,<1H OCEAN
-117.9,33.65,0-2000,<1H OCEAN
-118.25,33.86,0-2000,<1H OCEAN
-119.05,34.21,2000-4000,<1H OCEAN
-121.89,37.66,0-2000,INLAND
-118.4,34.05,0-2000,<1H OCEAN
-118.4,33.99,0-2000,<1H OCEAN
-118.23,33.98,2000-4000,<1H OCEAN
-118.25,33.95,0-2000,<1H OCEAN
-122.27,37.85,0-2000,NEAR BAY
-121.45,38.48,0-2000,INLAND
-121.36,38.64,2000-4000,INLAND
-118.21,34.06,0-2000,<1H OCEAN
-122.75,38.5,0-2000,<1H OCEAN
-122.27,37.51,0-2000,NEAR OCEAN
-122.12,37.68,0-2000,NEAR BAY
-121.45,38.56,0-2000,INLAND
-121.55,38.51,2000-4000,INLAND
-117.87,33.6,0-2000,<1H OCEAN
-118.05,33.72,0-2000,<1H OCEAN
-118.48,34.02,0-2000,<1H OCEAN
-119.67,36.8,0-2000,INLAND
-118.09,33.79,0-2000,<1H OCEAN
-118.35,34.07,0-2000,<1H OCEAN
-118.2,34.05,0-2000,<1H OCEAN
-121.01,37.69,0-2000,INLAND
-117.25,34.04,2000-4000,INLAND
-122.22,37.78,0-2000,NEAR BAY
-118.46,33.97,0-2000,<1H OCEAN
-117.28,34.17,0-2000,INLAND
-120.47,34.65,0-2000,NEAR OCEAN
-121.87,37.26,0-2000,<1H OCEAN
-122.26,38.29,0-2000,NEAR BAY
-122,38.35,0-2000,INLAND
-118.27,34.05,0-2000,<1H OCEAN
-118.21,33.96,2000-4000,<1H OCEAN
-118.05,33.78,0-2000,<1H OCEAN
-121.89,37.25,0-2000,<1H OCEAN
-118.09,33.76,0-2000,<1H OCEAN
-119.56,36.09,0-2000,INLAND
-118.13,33.79,2000-4000,NEAR OCEAN
-122.02,37.87,0-2000,NEAR BAY
-122.26,37.82,2000-4000,NEAR BAY
-121.98,37.31,0-2000,<1H OCEAN
-117.34,34.13,0-2000,INLAND
-117.01,32.81,0-2000,<1H OCEAN
-117.82,33.78,2000-4000,<1H OCEAN
-122.57,40.61,0-2000,INLAND
-118.18,33.95,0-2000,<1H OCEAN
-117.39,33.95,0-2000,INLAND
-117.35,34.15,2000-4000,INLAND
-117.84,33.73,0-2000,<1H OCEAN
-119.54,36.52,0-2000,INLAND
-122.31,37.54,0-2000,NEAR OCEAN
-122.4,37.81,0-2000,NEAR BAY
-118.33,34.01,0-2000,<1H OCEAN
-116.92,32.79,2000-4000,<1H OCEAN
-117.13,33.13,0-2000,<1H OCEAN
-118.25,34.13,0-2000,<1H OCEAN
-121.03,39.37,0-2000,INLAND
-121.29,37.95,0-2000,INLAND
-117.88,33.88,0-2000,<1H OCEAN
-118.38,34.19,0-2000,<1H OCEAN
-122.09,37.66,0-2000,NEAR BAY
-122.05,39.6,0-2000,INLAND
-117.2,32.77,0-2000,NEAR OCEAN
-122.03,37.97,2000-4000,NEAR BAY
-117.24,32.85,0-2000,NEAR OCEAN
-118.53,34.09,0-2000,<1H OCEAN
-122.29,37.88,0-2000,NEAR BAY
-122.02,37.98,0-2000,NEAR BAY
-122.26,37.48,0-2000,NEAR OCEAN
-122.33,40.52,0-2000,INLAND
-119.06,34.23,2000-4000,<1H OCEAN
-121.92,37.96,2000-4000,INLAND
-118.88,34.2,0-2000,<1H OCEAN
-122.4,40.58,0-2000,INLAND
-122.3,38.32,0-2000,NEAR BAY
-120.1,39.37,0-2000,INLAND
-119,36.07,0-2000,INLAND
-117.17,32.77,0-2000,NEAR OCEAN
-122.04,38.25,0-2000,INLAND
-121.84,39.73,0-2000,INLAND
-121.23,37.95,0-2000,INLAND
-116.27,34.13,0-2000,INLAND
-118.01,34.1,0-2000,INLAND
-120.4,37.92,0-2000,INLAND
-118.35,34.1,2000-4000,<1H OCEAN
-117.32,33.25,0-2000,<1H OCEAN
-116.9,32.77,0-2000,<1H OCEAN
-117.08,32.71,0-2000,NEAR OCEAN
-118.36,33.97,0-2000,<1H OCEAN
-117.41,34,0-2000,INLAND
-117.33,34.06,0-2000,INLAND
-122.15,37.74,0-2000,NEAR BAY
-122.07,37.39,0-2000,NEAR BAY
-121.51,38.55,0-2000,INLAND
-117.15,34.05,0-2000,INLAND
-121.45,38.51,2000-4000,INLAND
-122.05,36.87,0-2000,NEAR OCEAN
-121.83,37.23,2000-4000,<1H OCEAN
-118.36,33.95,2000-4000,<1H OCEAN
-117.18,33.16,2000-4000,<1H OCEAN
-117.58,34.09,0-2000,INLAND
-121.9,38.04,0-2000,INLAND
-117.46,34.14,0-2000,INLAND
-118.43,33.98,2000-4000,<1H OCEAN
-122.14,39.65,0-2000,INLAND
-122.13,39.74,0-2000,INLAND
-121.83,37.3,0-2000,<1H OCEAN
-118.1,33.99,0-2000,<1H OCEAN
-122.46,37.7,0-2000,NEAR OCEAN
-118.28,34.24,0-2000,<1H OCEAN
-121.93,37.89,0-2000,INLAND
-118.5,34.03,0-2000,<1H OCEAN
-121.29,38.12,0-2000,INLAND
-117.22,32.85,0-2000,NEAR OCEAN
-122.47,37.77,0-2000,NEAR BAY
-118.38,34.07,0-2000,<1H OCEAN
-117.91,34.08,0-2000,<1H OCEAN
-118.32,34.1,0-2000,<1H OCEAN
-121.36,38.01,0-2000,INLAND
-118.12,33.99,2000-4000,<1H OCEAN
-118.14,33.91,0-2000,<1H OCEAN
-122.2,37.79,0-2000,NEAR BAY
-118.13,34.19,0-2000,INLAND
-118.9,35.41,2000-4000,INLAND
-114.61,34.83,0-2000,INLAND
-118.14,33.78,0-2000,NEAR OCEAN
-121.12,35.58,0-2000,NEAR OCEAN
-117.65,34.04,2000-4000,INLAND
-121.84,37.37,0-2000,<1H OCEAN
-118.27,33.79,0-2000,<1H OCEAN
-120.56,38.48,0-2000,INLAND
-121.39,39.61,0-2000,INLAND
-116.92,32.76,0-2000,<1H OCEAN
-121.29,37.96,0-2000,INLAND
-118.03,33.78,0-2000,<1H OCEAN
-117.83,33.68,0-2000,<1H OCEAN
-121.79,36.64,28000-30000,<1H OCEAN
-118.43,34.02,0-2000,<1H OCEAN
-121.9,36.97,0-2000,NEAR OCEAN
-121.95,37.33,0-2000,<1H OCEAN
-121.91,37.42,0-2000,<1H OCEAN
-117.07,33.12,2000-4000,<1H OCEAN
-118.09,33.77,0-2000,<1H OCEAN
-118.32,33.82,0-2000,<1H OCEAN
-118.12,34.04,0-2000,<1H OCEAN
-118.22,33.89,0-2000,<1H OCEAN
-121.86,36.63,0-2000,<1H OCEAN
-122.43,37.74,0-2000,NEAR BAY
-119.19,36.06,0-2000,INLAND
-117.93,33.65,4000-6000,<1H OCEAN
-121.09,37.61,0-2000,INLAND
-122.07,37.67,0-2000,NEAR BAY
-121.18,37.79,0-2000,INLAND
-120.61,35.11,0-2000,<1H OCEAN
-117.69,34.05,0-2000,INLAND
-117.14,33.39,0-2000,<1H OCEAN
-122.95,40.67,0-2000,INLAND
-118.41,33.96,0-2000,<1H OCEAN
-119.76,36.8,2000-4000,INLAND
-117.18,32.83,0-2000,NEAR OCEAN
-117.9,34.01,2000-4000,<1H OCEAN
-122.04,37.36,0-2000,<1H OCEAN
-118.46,34.04,0-2000,<1H OCEAN
-122.2,39.93,0-2000,INLAND
-117.77,33.51,0-2000,<1H OCEAN
-121.99,37.26,0-2000,<1H OCEAN
-117.38,33.14,0-2000,NEAR OCEAN
-119.76,36.75,2000-4000,INLAND
-117.39,33.69,2000-4000,<1H OCEAN
-117.05,34.02,0-2000,INLAND
-121.42,38.62,0-2000,INLAND
-117.93,34.05,0-2000,<1H OCEAN
-122.41,37.8,0-2000,NEAR BAY
-122.11,37.67,0-2000,NEAR BAY
-119.61,36.56,0-2000,INLAND
-118.01,34.06,0-2000,INLAND
-118.19,33.99,2000-4000,<1H OCEAN
-118.31,34.03,0-2000,<1H OCEAN
-122.04,37.66,0-2000,NEAR BAY
-122.07,37.06,0-2000,NEAR OCEAN
-121.65,37.12,2000-4000,<1H OCEAN
-122.37,37.59,2000-4000,NEAR OCEAN
-118.4,33.96,0-2000,<1H OCEAN
-118.32,33.34,0-2000,ISLAND
-118.88,35.34,0-2000,INLAND
-118.4,33.87,0-2000,<1H OCEAN
-121.37,38.68,0-2000,INLAND
-122.1,37.39,0-2000,NEAR BAY
-119.81,36.78,0-2000,INLAND
-117.16,33.54,2000-4000,<1H OCEAN
-117.95,33.78,0-2000,<1H OCEAN
-122.18,37.46,0-2000,NEAR BAY
-118.32,33.97,0-2000,<1H OCEAN
-117.99,33.88,0-2000,<1H OCEAN
-118.26,34.23,0-2000,<1H OCEAN
-120.97,37.67,0-2000,INLAND
-117.81,34.01,4000-6000,<1H OCEAN
-118.51,34.19,0-2000,<1H OCEAN
-118.17,33.77,0-2000,NEAR OCEAN
-117.19,33.9,8000-10000,INLAND
-121.01,37.61,2000-4000,INLAND
-119.69,34.42,0-2000,<1H OCEAN
-118.27,33.93,0-2000,<1H OCEAN
-117.81,33.73,2000-4000,<1H OCEAN
-118.9,34.3,2000-4000,<1H OCEAN
-117.14,32.76,0-2000,NEAR OCEAN
-117.27,34.42,2000-4000,INLAND
-122.06,37.35,0-2000,<1H OCEAN
-118.12,33.83,0-2000,<1H OCEAN
-118.84,34.11,2000-4000,NEAR OCEAN
-120.6,35.11,0-2000,<1H OCEAN
-119.77,36.76,2000-4000,INLAND
-117.81,33.84,0-2000,<1H OCEAN
-117.05,32.68,0-2000,NEAR OCEAN
-117.94,33.92,0-2000,<1H OCEAN
-119.63,34.42,0-2000,<1H OCEAN
-121.56,39.51,0-2000,INLAND
-117.96,33.83,0-2000,<1H OCEAN
-118.16,34.09,2000-4000,<1H OCEAN
-117.06,32.81,0-2000,<1H OCEAN
-119.83,34.44,0-2000,NEAR OCEAN
-118.44,34.22,0-2000,<1H OCEAN
-122,38.83,0-2000,INLAND
-118.45,34.25,0-2000,<1H OCEAN
-118.18,34.09,0-2000,<1H OCEAN
-122.41,37.75,0-2000,NEAR BAY
-119.02,36.05,0-2000,INLAND
-121.79,38.69,0-2000,INLAND
-117.66,34.15,0-2000,INLAND
-117.76,34.05,2000-4000,INLAND
-121.78,37.69,0-2000,INLAND
-121.38,38.59,0-2000,INLAND
-117.87,33.92,2000-4000,<1H OCEAN
-117.13,33.14,0-2000,<1H OCEAN
-122.33,37.98,0-2000,NEAR BAY
-118.18,34.13,0-2000,<1H OCEAN
-121.83,37.27,0-2000,<1H OCEAN
-120.76,38.65,0-2000,INLAND
-121.24,37.97,0-2000,INLAND
-122.11,37.7,0-2000,NEAR BAY
-117.14,32.9,2000-4000,<1H OCEAN
-121.47,38.56,0-2000,INLAND
-118.21,33.9,0-2000,<1H OCEAN
-117.93,33.75,0-2000,<1H OCEAN
-122.24,37.75,0-2000,NEAR BAY
-117.22,33.81,4000-6000,INLAND
-118.03,33.83,0-2000,<1H OCEAN
-118.31,34.01,0-2000,<1H OCEAN
-117.23,33.23,0-2000,<1H OCEAN
-122.93,38.02,0-2000,NEAR OCEAN
-121.45,38.69,0-2000,INLAND
-122.01,37.4,0-2000,<1H OCEAN
-121.47,38.51,0-2000,INLAND
-121.44,37.76,2000-4000,INLAND
-122.57,37.99,0-2000,NEAR BAY
-122.13,37.4,2000-4000,NEAR BAY
-118.3,34.17,0-2000,<1H OCEAN
-117.29,34.13,0-2000,INLAND
-122.05,37.36,0-2000,<1H OCEAN
-118.15,33.8,0-2000,NEAR OCEAN
-118,33.81,0-2000,<1H OCEAN
-117.96,33.76,2000-4000,<1H OCEAN
-118.11,34.14,0-2000,<1H OCEAN
-120.69,38.44,0-2000,INLAND
-117.04,32.98,0-2000,<1H OCEAN
-122.4,37.6,2000-4000,NEAR OCEAN
-118.6,34.23,4000-6000,<1H OCEAN
-118.5,34.15,0-2000,<1H OCEAN
-118.32,33.9,0-2000,<1H OCEAN
-122.64,41.73,0-2000,INLAND
-117.97,33.77,0-2000,<1H OCEAN
-118.09,33.9,0-2000,<1H OCEAN
-120.75,37.37,0-2000,INLAND
-121.39,36.16,0-2000,NEAR OCEAN
-122.3,37.91,0-2000,NEAR BAY
-118.25,34.15,0-2000,<1H OCEAN
-121.48,38.58,0-2000,INLAND
-121.94,37.29,0-2000,<1H OCEAN
-118.35,33.92,2000-4000,<1H OCEAN
-118.92,34.18,0-2000,<1H OCEAN
-122.5,37.74,0-2000,NEAR OCEAN
-118.33,34.15,0-2000,<1H OCEAN
-118.23,34.05,0-2000,<1H OCEAN
-117.15,33.02,4000-6000,NEAR OCEAN
-118.22,33.99,0-2000,<1H OCEAN
-116.54,33.81,2000-4000,INLAND
-118.02,33.85,0-2000,<1H OCEAN
-122.05,37.36,0-2000,<1H OCEAN
-122.28,37.51,0-2000,NEAR OCEAN
-118.86,34.07,0-2000,NEAR OCEAN
-122.65,38.97,0-2000,INLAND
-121.91,37.69,0-2000,<1H OCEAN
-120.43,34.87,0-2000,<1H OCEAN
-122.44,37.79,0-2000,NEAR BAY
-117.02,32.78,0-2000,<1H OCEAN
-117.83,33.82,0-2000,<1H OCEAN
-117.08,32.69,0-2000,NEAR OCEAN
-120.1,39.19,0-2000,INLAND
-122.65,38.99,0-2000,INLAND
-115.69,32.79,0-2000,INLAND
-121.66,36.37,0-2000,<1H OCEAN
-122.39,40.52,0-2000,INLAND
-116.29,33.72,0-2000,INLAND
-117.71,33.63,0-2000,<1H OCEAN
-121.8,37.31,0-2000,<1H OCEAN
-116.46,33.78,2000-4000,INLAND
-118.31,33.83,0-2000,<1H OCEAN
-120.25,36.65,0-2000,INLAND
-118.08,33.98,0-2000,<1H OCEAN
-121.85,37.26,0-2000,<1H OCEAN
-121.73,36.93,0-2000,<1H OCEAN
-118.38,34.03,0-2000,<1H OCEAN
-118.04,33.83,2000-4000,<1H OCEAN
-122.49,38.27,0-2000,NEAR BAY
-120.08,39.61,0-2000,INLAND
-116.6,33.06,0-2000,INLAND
-118.37,34.18,0-2000,<1H OCEAN
-117.12,32.75,0-2000,NEAR OCEAN
-121.91,37.23,0-2000,<1H OCEAN
-119.78,36.71,0-2000,INLAND
-118.25,34.07,4000-6000,<1H OCEAN
-121.68,36.72,12000-14000,<1H OCEAN
-118.19,33.91,2000-4000,<1H OCEAN
-119.73,34.44,0-2000,NEAR OCEAN
-116.94,32.84,0-2000,<1H OCEAN
-120.19,39.32,0-2000,INLAND
-118.36,34.18,0-2000,<1H OCEAN
-122.09,37.36,0-2000,NEAR BAY
-122.28,37.83,0-2000,NEAR BAY
-121.19,39.05,0-2000,INLAND
-122.27,37.77,0-2000,NEAR BAY
-118.16,34.19,0-2000,<1H OCEAN
-118.18,34.04,0-2000,<1H OCEAN
-121.06,40.23,0-2000,INLAND
-120.06,37.02,2000-4000,INLAND
-121.97,37.36,0-2000,<1H OCEAN
-117.09,32.7,0-2000,NEAR OCEAN
-122.43,37.76,0-2000,NEAR BAY
-122.1,37.68,0-2000,NEAR BAY
-118.31,33.92,0-2000,<1H OCEAN
-117.35,34.04,0-2000,INLAND
-117.91,34.04,4000-6000,<1H OCEAN
-118.08,34,0-2000,<1H OCEAN
-120.62,37.35,0-2000,INLAND
-117.66,35.63,0-2000,INLAND
-122.68,38.43,0-2000,<1H OCEAN
-118.4,34.09,0-2000,<1H OCEAN
-118.35,34.03,0-2000,<1H OCEAN
-121.95,37.32,0-2000,<1H OCEAN
-117.07,32.71,2000-4000,NEAR OCEAN
-117.71,34.12,4000-6000,INLAND
-121.95,37.52,2000-4000,<1H OCEAN
-121.35,38.51,0-2000,INLAND
-122.01,37.37,0-2000,<1H OCEAN
-118.31,34.26,0-2000,<1H OCEAN
-122.04,37.35,0-2000,<1H OCEAN
-117.03,32.72,0-2000,NEAR OCEAN
-118.61,34.21,0-2000,<1H OCEAN
-121.36,38.39,2000-4000,INLAND
-118.26,33.91,0-2000,<1H OCEAN
-117.21,34.51,0-2000,INLAND
-122.21,38.1,0-2000,NEAR BAY
-117.98,33.84,0-2000,<1H OCEAN
-122.4,37.76,0-2000,NEAR BAY
-118.33,34.15,0-2000,<1H OCEAN
-118.36,33.92,2000-4000,<1H OCEAN
-122.07,37.67,0-2000,NEAR BAY
-117.39,34.13,0-2000,INLAND
-121.1,38.92,0-2000,INLAND
-121.28,37.96,0-2000,INLAND
-117.68,34.07,0-2000,INLAND
-118.5,34.19,0-2000,<1H OCEAN
-122.35,37.93,0-2000,NEAR BAY
-117.18,32.69,0-2000,NEAR OCEAN
-121.87,39.74,0-2000,INLAND
-118.01,34.55,0-2000,INLAND
-117.95,33.99,2000-4000,<1H OCEAN
-124.14,41.95,0-2000,NEAR OCEAN
-120.79,38.83,0-2000,INLAND
-121.38,38.49,4000-6000,INLAND
-118.13,34.18,0-2000,INLAND
-117.28,34.09,0-2000,INLAND
-117.14,32.71,0-2000,NEAR OCEAN
-122.42,38.31,0-2000,NEAR BAY
-119.61,36.33,0-2000,INLAND
-117.89,34.07,0-2000,<1H OCEAN
-118.37,34.21,0-2000,<1H OCEAN
-124.17,40.62,0-2000,NEAR OCEAN
-121.17,37.97,0-2000,INLAND
-121.51,38.54,0-2000,INLAND
-122.18,37.78,0-2000,NEAR BAY
-118.44,34.06,0-2000,<1H OCEAN
-122.27,37.85,0-2000,NEAR BAY
-121.47,38.52,0-2000,INLAND
-122.13,38.26,0-2000,NEAR BAY
-122.05,37.33,0-2000,<1H OCEAN
-118.32,34.1,2000-4000,<1H OCEAN
-117.02,32.71,2000-4000,NEAR OCEAN
-122.01,37.18,0-2000,<1H OCEAN
-122.09,37.4,2000-4000,NEAR BAY
-118.27,33.99,0-2000,<1H OCEAN
-118.19,33.95,0-2000,<1H OCEAN
-117.23,32.99,0-2000,NEAR OCEAN
-114.6,33.62,2000-4000,INLAND
-118.16,34.17,0-2000,<1H OCEAN
-122.47,37.78,0-2000,NEAR BAY
-118.32,34.1,0-2000,<1H OCEAN
-117.67,33.51,0-2000,<1H OCEAN
-122.47,37.74,0-2000,NEAR BAY
-117.22,32.81,0-2000,NEAR OCEAN
-122.28,37.87,0-2000,NEAR BAY
-118.34,34.04,0-2000,<1H OCEAN
-118.4,34.03,2000-4000,<1H OCEAN
-117.85,33.76,0-2000,<1H OCEAN
-117.26,32.81,0-2000,NEAR OCEAN
-118.43,34.05,0-2000,<1H OCEAN
-122.74,38.45,0-2000,<1H OCEAN
-119.18,34.21,0-2000,NEAR OCEAN
-122.49,37.69,0-2000,NEAR OCEAN
-117.51,33.88,2000-4000,INLAND
-117.4,34,0-2000,INLAND
-122.19,37.76,0-2000,NEAR BAY
-116.97,32.56,4000-6000,NEAR OCEAN
-122.32,37.92,0-2000,NEAR BAY
-121.78,37.69,0-2000,INLAND
-118.26,33.97,0-2000,<1H OCEAN
-122.69,38.37,2000-4000,<1H OCEAN
-118.25,33.99,2000-4000,<1H OCEAN
-117.06,32.63,2000-4000,NEAR OCEAN
-118.22,33.9,0-2000,<1H OCEAN
-118.32,34.06,0-2000,<1H OCEAN
-117.14,33.18,2000-4000,<1H OCEAN
-118.14,33.97,0-2000,<1H OCEAN
-117.19,34.27,0-2000,INLAND
-122.72,38.43,0-2000,<1H OCEAN
-122.09,37.64,0-2000,NEAR BAY
-117.27,34.13,2000-4000,INLAND
-116.98,32.75,0-2000,<1H OCEAN
-122.12,37.82,0-2000,NEAR BAY
-121.96,37.95,0-2000,INLAND
-117.31,33.16,0-2000,NEAR OCEAN
-124.15,40.8,0-2000,NEAR OCEAN
-117.76,35.63,0-2000,INLAND
-121.49,38.63,4000-6000,INLAND
-119.25,36.32,0-2000,INLAND
-120.62,38.71,2000-4000,INLAND
-118.18,33.8,0-2000,NEAR OCEAN
-118.06,33.99,0-2000,<1H OCEAN
-122.11,37.7,0-2000,NEAR BAY
-119.33,35.6,2000-4000,INLAND
-118.41,33.92,0-2000,<1H OCEAN
-121.99,37.53,2000-4000,<1H OCEAN
-119.82,34.45,0-2000,NEAR OCEAN
-117.08,32.75,0-2000,NEAR OCEAN
-117.21,32.8,0-2000,NEAR OCEAN
-117,32.76,0-2000,<1H OCEAN
-120.35,36.16,0-2000,INLAND
-117.08,33.12,0-2000,<1H OCEAN
-118.39,34.03,0-2000,<1H OCEAN
-121.3,37.98,0-2000,INLAND
-119.85,34.4,4000-6000,NEAR OCEAN
-117.64,33.45,0-2000,NEAR OCEAN
-117.73,34.07,0-2000,INLAND
-118.31,33.87,0-2000,<1H OCEAN
-118.1,34.06,0-2000,<1H OCEAN
-121.97,37.77,2000-4000,<1H OCEAN
-122.08,37.4,0-2000,NEAR BAY
-121.92,37.72,2000-4000,<1H OCEAN
-117.8,33.69,0-2000,<1H OCEAN
-117.89,33.74,2000-4000,<1H OCEAN
-118.09,34.12,0-2000,<1H OCEAN
-117.26,33.02,0-2000,NEAR OCEAN
-118.06,33.82,0-2000,<1H OCEAN
-117.59,33.41,0-2000,NEAR OCEAN
-117.39,33.98,0-2000,INLAND
-118.54,34.25,0-2000,<1H OCEAN
